"year","league","division","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","ERA","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors","fieldingPct","leagueWin","worldSeriesWin"
1986,"NL","East","Washington Nationals",48.45,3.96,8.7,12.96,0.68,3.34,4.27,3.78,8.39,0.74,3.52,0.83,0.98,"N","N"
1986,"AL","East","New York Yankees",55.56,4.92,9.33,14.8,1.16,3.98,4.56,4.11,9.02,1.08,3.04,0.78,0.98,"N","N"
1986,"NL","East","New York Mets",66.67,4.83,9.02,13.76,0.91,3.9,3.57,3.11,8.05,0.64,3.14,0.85,0.98,"Y","Y"
1986,"AL","West","Oakland Athletics",46.91,4.51,8.46,13.1,1.01,3.41,4.69,4.31,8.23,1.02,4.12,0.83,0.98,"N","N"
1986,"NL","East","Philadelphia Phillies",53.42,4.59,8.61,13.61,0.96,3.66,4.43,3.85,9.15,0.81,3.43,0.85,0.98,"N","N"
1986,"NL","Central","Pittsburgh Pirates",39.51,4.09,8.43,12.58,0.69,3.51,4.32,3.9,8.62,0.85,3.52,0.88,0.98,"N","N"
1986,"NL","West","San Diego Padres",45.68,4.05,8.9,13.2,0.84,2.99,4.46,3.99,8.68,0.93,3.75,0.85,0.98,"N","N"
1986,"AL","West","Seattle Mariners",41.36,4.43,8.59,13.52,0.98,3.53,5.15,4.65,9.81,1.06,3.61,0.96,0.98,"N","N"
1986,"NL","West","San Francisco Giants",51.23,4.31,8.6,12.73,0.7,3.31,3.81,3.33,7.8,0.75,3.65,0.88,0.98,"N","N"
1986,"NL","Central","St. Louis Cardinals",49.07,3.73,7.89,10.91,0.36,3.53,3.8,3.37,8.47,0.84,3.01,0.76,0.98,"N","N"
1986,"AL","West","Texas Rangers",53.7,4.76,9.13,14.6,1.14,3.15,4.59,4.11,8.37,0.9,4.54,0.75,0.98,"N","N"
1986,"AL","East","Toronto Blue Jays",53.09,4.96,9.45,14.96,1.11,3.04,4.5,4.08,9,1.01,2.99,0.61,0.98,"N","N"
1987,"NL","East","Atlanta Braves",42.86,4.64,8.7,13.6,0.94,3.98,5.15,4.63,9.5,1.01,3.65,0.72,0.98,"N","N"
1987,"AL","East","Baltimore Orioles",41.36,4.5,8.87,14.38,1.3,3.23,5.43,5.01,9.6,1.4,3.38,0.69,0.98,"N","N"
1987,"AL","East","Boston Red Sox",48.15,5.2,9.59,14.82,1.07,3.74,5.09,4.77,9.78,1.17,3.19,0.68,0.98,"N","N"
1987,"AL","West","Los Angeles Angels",46.3,4.75,8.68,13.77,1.06,3.64,4.96,4.38,9.14,1.31,3.11,0.72,0.98,"N","N"
1987,"AL","Central","Chicago White Sox",47.53,4.62,8.81,14.2,1.07,3.01,4.6,4.3,8.86,1.17,3.31,0.72,0.98,"N","N"
1987,"NL","Central","Chicago Cubs",47.2,4.47,9.16,14.98,1.3,3.13,4.98,4.55,9.47,0.99,3.9,0.81,0.98,"N","N"
1987,"NL","Central","Cincinnati Reds",51.85,4.83,9.12,14.65,1.19,3.17,4.64,4.24,9.17,1.05,2.99,0.8,0.98,"N","N"
1987,"AL","Central","Cleveland Guardians",37.65,4.58,9.11,14.59,1.15,3.02,5.91,5.28,9.67,1.35,3.74,0.94,0.98,"N","N"
1987,"AL","Central","Detroit Tigers",60.49,5.53,9.48,15.73,1.39,4.03,4.54,4.02,8.83,1.11,3.48,0.75,0.98,"N","N"
1987,"AL","West","Houston Astros",46.91,4,8.56,12.63,0.75,3.25,4.19,3.84,8.41,0.87,3.24,0.72,0.98,"N","N"
1987,"AL","Central","Kansas City Royals",51.23,4.41,8.91,13.99,1.04,3.23,4.27,3.86,8.79,0.79,3.38,0.81,0.98,"N","N"
1987,"NL","West","Los Angeles Dodgers",45.06,3.92,8.57,12.63,0.77,2.75,4.17,3.72,8.73,0.8,3.49,0.96,0.98,"N","N"
1987,"AL","Central","Minnesota Twins",52.47,4.85,8.78,14.43,1.21,3.23,4.98,4.63,9.04,1.3,3.48,0.6,0.98,"Y","Y"
1987,"NL","Central","Milwaukee Brewers",56.17,5.32,9.58,14.85,1.01,3.69,5.04,4.62,9.56,1.04,3.27,0.9,0.98,"N","N"
